"UF","CNPJ","CEP","IE","FLAGS","IND_ORGAO_GOVERNAMENTAL","COD_NATUREZA_JURIDICA","TICO_CODIGO","ENTE_FEDERATIVO","INSCR_SUFRAMA","AMOSTRA_DE","CHAVE_AMOSTRA"
"AC","39.471.745/0001-74","69915034","ISENTO","","N","","06","","","UF","AC"
"AC","53.197.427/0001-98","69900433","0108992200182","AMOC","N","","03","","200428608","UF","AC"
"AC","52.012.765/0001-45","69907701","0108795100100","","N","206-2","03","","","UF","AC"
"AC","01.441.462/0001-07","69960000","0100273400122","","N","","03","","","UF","AC"
"AC","40.076.096/0001-96","69900315","0106989700106","","N","206-2","03","","","UF","AC"
"AC","33.806.231/0001-46","69919140","ISENTO","","N","","06","","","UF","AC"
"AC","19.471.163/0001-80","69911781","0105468300101","","N","213-5","03","","","UF","AC"
"AC","33.022.690/0035-88","69980000","ISENTO","","N","","06","","","UF","AC"
"AC","04.563.672/0007-51","69920184","0100425400197","AMOC","N","206-2","03","","200409948","UF","AC"
"AC","30.805.423/0001-40","69918093","0105678200146","","N","","03","","","UF","AC"
"AC","04.749.053/0001-60","69918114","ISENTO","","N","","06","","","UF","AC"
"AC","08.488.130/0001-27","69920193","ISENTO","","N","206-2","06","","","UF","AC"
"AC","38.167.717/0001-03","69900830","0106616000141","AMOC","N","","03","","200417860","UF","AC"
"AC","50.492.342/0001-44","69918172","0108582000124","","N","206-2","03","","","UF","AC"
"AC","50.801.014/0001-82","69918208","ISENTO","","N","","06","","","UF","AC"
"AC","04.583.043/0001-06","69900670","ISENTO","","N","","06","","","UF","AC"
"AC","34.710.855/0001-28","69980000","0100529000187","","N","","03","","","UF","AC"
"AC","08.220.930/0001-62","69915630","0101836500150","","N","206-2","03","","","UF","AC"
"AC","35.489.700/0001-76","69905054","0106260200153","","N","","03","","","UF","AC"
"AC","12.284.168/0001-55","69900658","ISENTO","","N","206-2","06","","","UF","AC"
"AC","04.387.825/0003-23","69921118","0100418800100","","N","","03","","","UF","AC"
"AC","10.345.852/0001-74","69900064","ISENTO","","N","","06","","","UF","AC"
"AC","00.000.000/7657-08","69918099","ISENTO","","S","203-8","06","UNIAO","","UF","AC"
"AC","13.479.881/0001-17","69905274","0109282500138","","N","","03","","","UF","AC"
"AC","33.022.690/0018-87","69945000","ISENTO","","N","","06","","","UF","AC"
"AC","09.228.233/0001-10","69920160","0104269800157","","N","","03","","","UF","AC"
"AC","04.043.949/0001-20","69907701","0100139700192","","N","206-2","03","","","UF","AC"
"AC","32.044.692/0001-66","69940000","ISENTO","","N","","06","","","UF","AC"
"AC","10.584.440/0001-97","69900526","","","N","","04","","","UF","AC"
"AC","84.329.242/0001-13","69905112","0100214700115","","N","","03","","","UF","AC"
"AC","35.711.476/0001-15","69917532","ISENTO","","N","","06","","","UF","AC"
"AC","54.177.355/0001-80","69902744","0109216100143","","N","","03","","","UF","AC"
"AC","10.328.753/0001-84","69918172","0102165200181","AMOC","N","","03","","101458207","UF","AC"
"AC","07.190.927/0001-80","69915176","0101657000145","","N","","03","","","UF","AC"
"AC","07.466.381/0001-48","69919850","0103212200101","","N","","03","","","UF","AC"
"AC","45.415.568/0001-01","69918172","ISENTO","","N","","06","","","UF","AC"
"AC","14.326.951/0001-60","69900688","ISENTO","","N","","06","","","UF","AC"
"AC","33.022.690/0022-63","69980000","ISENTO","","N","","06","","","UF","AC"
"AC","11.610.856/0001-03","69925000","0108176800109","","N","206-2","03","","","UF","AC"
"AC","03.804.862/0003-27","69919015","ISENTO","","N","","06","","","UF","AC"
"AC","22.761.584/0106-28","69934000","0107779200156","ALC","N","205-4","03","","200422766","UF","AC"
"AC","03.885.631/0001-23","69918084","0101077800197","AMOC","N","206-2","03","","200402870","UF","AC"
"AC","17.465.473/0001-67","69918078","ISENTO","","N","223-2","06","","","UF","AC"
"AC","52.215.893/0001-96","69918298","0108824900172","","N","","03","","","UF","AC"
"AC","33.022.690/0034-05","69980000","ISENTO","","N","214-3","06","","","UF","AC"
"AC","57.690.849/0001-51","69919230","0109731800109","","N","206-2","03","","","UF","AC"
"AC","08.191.815/0001-07","69919050","0101840700126","","N","","03","","","UF","AC"
"AC","55.007.638/0001-46","69918268","ISENTO","","N","223-2","06","","","UF","AC"
"AC","04.581.375/0001-43","69918700","ISENTO","","S","102-3","06","","","UF","AC"
"AC","34.707.141/0001-60","69932000","ISENTO","","N","","06","","","UF","AC"
"AC","06.021.515/0001-54","69980000","0101512000144","","N","","03","","","UF","AC"
"AC","27.242.861/0002-13","69906119","0105178800217","","N","206-2","03","","","UF","AC"
"AC","30.230.785/0001-50","69905052","0105595900132","","N","","03","","","UF","AC"
"AC","34.703.835/0004-72","69918216","0100991400441","","N","206-2","03","","","UF","AC"
"AC","40.275.785/0001-20","69900300","ISENTO","","N","","06","","","UF","AC"
"AC","02.941.990/0009-45","69980000","ISENTO","","N","","06","","","UF","AC"
"AC","01.160.009/0001-22","69980000","ISENTO","","N","303-4","06","","","UF","AC"
"AC","06.987.995/0001-02","69900658","0101615200111","","N","206-2","03","","","UF","AC"
"AC","14.779.039/0001-63","69925000","0103205200100","","N","","03","","","UF","AC"
"AC","33.022.690/0032-35","69900070","ISENTO","","N","","06","","","UF","AC"
"AC","02.799.522/0001-20","69918578","0101214000154","","N","206-2","03","","","UF","AC"
"AC","22.968.857/0001-32","69915370","0104610900128","","N","","03","","","UF","AC"
"AC","35.873.284/0001-05","69901546","ISENTO","","N","206-2","06","","","UF","AC"
"AC","04.070.751/0001-35","69900072","0100106900150","","N","206-2","03","","","UF","AC"
"AC","28.400.672/0001-03","69900363","ISENTO","","N","","06","","","UF","AC"
"AC","11.467.937/0001-98","69900550","ISENTO","","N","","06","","","UF","AC"
"AC","03.033.345/0001-30","69900830","0100310500156","","N","","03","","","UF","AC"
"AC","04.003.224/0001-08","69900132","ISENTO","","N","399-9","06","","","UF","AC"
"AC","04.814.502/0001-07","69909640","0101276700141","AMOC","N","214-3","03","","200405608","UF","AC"
"AC","08.893.457/0005-08","69906214","0106671500100","","N","206-2","03","","","UF","AC"
