UF,CNPJ,CEP,IE,FLAGS,IND_ORGAO_GOVERNAMENTAL,COD_NATUREZA_JURIDICA,TICO_CODIGO,ENTE_FEDERATIVO,INSCR_SUFRAMA
SP,1.30394E+13,6440185,ISENTO,,N,,6,,
PR,8.68892E+12,83402335,9039849965,,N,2062,3,,
RJ,3.67169E+13,21530000,11696678,REV,N,,3,,
MG,38911,39960000,ISENTO,,S,2038,6,UNIAO,
SP,5.66374E+13,11730000,45916300000000000,,N,,3,,
SC,4.10035E+13,89010380,ISENTO,GOVORD,N,,6,,
RS,8.80992E+13,98325000,ISENTO,,N,,6,,
PA,2.69518E+13,68501335,156534959,,N,2062,3,,
RS,7.80364E+12,96015420,0930384261,,N,2062,3,,
PE,3.32001E+13,56304160,049002945,,N,2054,3,,
MG,4.15619E+12,37640000,251363000000000000,REV,N,2062,3,,
PR,9.60272E+12,80010010,ISENTO,,N,2054,6,,
SP,6.15811E+13,3119001,10377300000000000,,N,,3,,
SP,1.02015E+13,4220001,13013200000000000,,N,,3,,
RJ,2.01286E+12,20021340,84328820,GOVORD,N,,3,,
GO,7.1844E+12,75405085,103866078,,N,,3,,
GO,4.03071E+13,75083180,108200892,,N,,3,,
SP,5.91045E+13,9950905,28600300000000000,,N,2062,3,,
MG,1.8167E+13,36140000,0021536390089,GOVORD,N,2135,3,,
AC,9.12223E+12,69915026,ISENTO,,N,,6,,
RS,6.87555E+13,95045080,0290384974,,N,2062,3,,
SP,6.10511E+13,13180570,67104600000000000,,N,2062,3,,
GO,7.85201E+12,74425535,103980369,,N,,3,,
SP,3.4334E+13,8420000,1264600000000000,,N,,3,,
BA,5.53515E+12,48903570,059228167,REV,N,2135,3,,
SC,5.49043E+13,88010301,ISENTO,,N,,6,,
RS,4.32091E+13,95680000,,,N,,4,,
SP,2.60932E+13,5416000,ISENTO,,N,2232,6,,
DF,312169,72318595,0731456806525,,N,,6,UNIAO,
PR,3.21089E+12,86020913,9018753240,,N,2062,3,,
MA,3.27601E+13,65075441,125908431,,N,,3,,
RJ,4.24223E+13,22241090,ISENTO,,N,,6,,
RS,8.75171E+13,94930230,ISENTO,,N,,6,,
MG,1.02224E+13,30130138,ISENTO,,N,2062,6,,
RS,9.27949E+13,90035030,0960005900,,N,,3,,
SP,6.08475E+12,14070745,58265700000000000,REV,N,,3,,
SP,9.63294E+13,7020010,33635900000000000,,N,,3,,
SP,4.35639E+13,17890000,40805500000000000,,N,2062,3,,
RJ,7.34992E+13,20091901,ISENTO,,N,,6,,
SP,5.15493E+13,6020015,,,N,,4,,
MG,1.7245E+13,33040260,578008000000000000,,N,,3,,
PE,3.38915E+11,51030300,57579407,REV,N,,3,,
SP,5.41768E+13,6020010,ISENTO,,N,2062,6,,
PE,3.08385E+12,54335000,026893401,,N,2054,6,,
SP,5.31225E+13,4547005,13251500000000000,,N,,6,,
ES,3.06794E+13,29706040,081121601,REV,N,2062,3,,
MT,7.12114E+12,78125185,ISENTO,GOVORD,N,,6,,
SP,4.52937E+13,19015190,ISENTO,,N,,6,,
PE,4.21097E+11,52050420,ISENTO,,N,2062,6,,
AM,1.12007E+13,69075840,ISENTO,ZFM,N,,6,,1111111111
MG,3.01397E+12,37135516,0161981590089,,N,,3,,
RS,7.52E+12,95183000,0450090817,,N,,3,,
PA,8.36635E+13,66825000,151770077,,N,,3,,
PR,7.66383E+13,80410230,ISENTO,,N,,6,,
SP,5.94896E+13,8290210,1122200000000000,GOVORD,N,2062,3,,
PR,4.39994E+13,81260900,ISENTO,,N,,3,,
MT,2.3888E+13,78300122,ISENTO,,N,,6,,
SP,6.90382E+13,18275630,68704700000000000,,N,2062,3,,
GO,6.00685E+12,74840060,104413883,,N,,3,,
SP,6.18585E+13,3183000,ISENTO,,N,,6,,
SP,4.94758E+13,4545042,ISENTO,,N,2062,6,,
RS,9.0057E+13,95185000,ISENTO,,N,3999,6,,
SP,6.15214E+12,4534002,14938400000000000,,N,2062,6,,
ES,4.55454E+13,29880000,083883037,,N,2062,3,,
RJ,5.88369E+13,23550420,ISENTO,,N,2135,6,,
SP,2.48021E+13,3402002,13370800000000000,,N,2062,3,,
SP,4.87404E+13,7180903,79662200000000000,REV,N,2062,3,,
RS,5.82075E+13,93819264,1310180536,,N,,3,,
MG,2.71385E+13,34006053,ISENTO,,N,,6,,
SP,5.54406E+13,8320334,ISENTO,,N,2062,6,,
SC,3.14907E+13,89503220,260602582,,N,,3,,
SP,3.34483E+13,5421001,ISENTO,,N,2062,6,,
SP,8.97003E+12,13500270,58729200000000000,,N,2062,3,,
SP,5.48439E+12,13900200,16812600000000000,,N,,3,,
RS,1.14119E+13,95913265,0720168201,,N,2062,3,,
BA,1.76198E+12,42801725,ISENTO,,N,,6,,
MS,2.80269E+13,79005240,ISENTO,,N,,6,,
SC,5.52833E+12,89810413,254687938,REV,N,,3,,
PR,3.32001E+13,80230010,9037682230,,N,2054,3,,
DF,4.14473E+12,70711905,0741704400130,,N,,6,,
SP,3.46901E+12,7250000,33649800000000000,,N,2062,3,,
MT,1.22639E+12,78210250,ISENTO,,N,,6,,
SP,86304,5005000,ISENTO,GOVORD,S,2038,6,UNIAO,
RS,2.54767E+13,92010170,ISENTO,,N,,6,,
PE,7.36742E+13,50030290,019474512,,N,2062,3,,
RJ,1.7036E+13,22431050,ISENTO,,N,,6,,
GO,2.02032E+13,72832000,106113577,REV,N,2062,3,,
SC,2.32414E+13,89256900,ISENTO,,N,,6,,
SP,4.73796E+13,5347010,14827700000000000,,N,,3,,
BA,3.56332E+13,41820020,ISENTO,,N,,6,,
SP,68353000123,4538132,ISENTO,,N,,6,,
