"UF","CNPJ","CEP","IE","FLAGS","IND_ORGAO_GOVERNAMENTAL","COD_NATUREZA_JURIDICA","TICO_CODIGO","ENTE_FEDERATIVO","INSCR_SUFRAMA"
"PR","04.779.792/0003-67","87306340","9092053790","","N","205-4","03","",""
"CE","07.040.108/0001-57","60410000","68592361","","N","","03","",""
"SP","74.566.878/0001-25","09990090","286262863114","","N","","03","",""
"MT","03.678.309/0001-23","78020600","131932411","","N","213-5","03","",""
"SP","60.683.165/0001-37","13425000","153904689115","","N","206-2","03","",""
"SP","57.909.806/0001-14","13288130","714087908113","","N","205-4","03","",""
"SP","03.774.819/0087-74","06529001","ISENTO","","N","","06","",""
"MG","18.171.718/0001-06","33840100","0021540650057","","N","","03","",""
"RN","10.877.412/0005-91","59700000","","","N","","04","",""
"GO","29.956.531/0001-34","74125010","107348489","","N","","06","",""
"SC","17.909.092/0001-20","88117351","ISENTO","","N","223-2","06","",""
"RJ","38.300.280/0001-26","28630310","11855830","","N","","06","",""
"SP","23.236.392/0001-98","06460040","","","N","","04","",""
"CE","28.189.626/0001-07","60192200","ISENTO","","N","206-2","06","",""
"SC","04.444.171/0005-94","89219600","261781642","","N","206-2","03","",""
"MG","00.000.000/2857-65","35420045","ISENTO","","S","203-8","06","UNIAO",""
"PA","17.268.078/0002-75","68180010","159304660","","N","","03","",""
"RN","09.075.326/0001-52","59040340","200223054","","N","","03","",""
"SP","13.820.987/0001-32","13303519","387422331115","","N","206-2","03","",""
"RS","13.324.184/0006-00","93270000","0430150342","","N","205-4","03","",""
"SP","56.720.428/0001-63","13453900","606000044119","","N","204-6","03","",""
"PE","19.867.570/0001-01","55540000","ISENTO","","N","","06","",""
"RS","91.517.334/0001-92","95770000","ISENTO","","N","206-2","06","",""
"SP","03.141.488/0002-46","16018000","177599663119","","N","206-2","03","",""
"SP","61.585.865/1842-95","07250130","796686457110","","N","","03","",""
"SP","60.964.996/0001-87","01209001","ISENTO","","N","","06","",""
"PR","07.161.411/0001-08","85301410","9032626642","","N","","03","",""
"PR","13.933.645/0001-29","87502370","9076546212","","N","206-2","03","",""
"RS","92.543.875/0001-58","95880000","0440022533","","N","206-2","03","",""
"SP","65.800.427/0001-10","05470010","ISENTO","","N","","06","",""
"ES","39.341.029/0001-72","29375000","081635796","","N","","03","",""
"SP","07.057.085/0001-93","13847021","455101113116","","N","206-2","03","",""
"SP","05.111.506/0001-91","03605040","ISENTO","","N","206-2","06","",""
"SP","62.658.752/0001-00","01136001","ISENTO","","N","","06","",""
"MG","12.392.712/0001-82","37950000","0019773190021","","N","206-2","03","",""
"MG","02.739.046/0001-52","36015440","ISENTO","","N","","06","",""
"MG","57.350.408/0001-00","31330290","0050001470043","","N","206-2","03","",""
"BA","06.057.223/0315-65","48900441","131710674","","N","","03","",""
"SC","83.202.093/0001-64","88502216","252285778","","N","","04","",""
"MG","08.764.312/0001-83","31130250","0027148400040","","N","206-2","03","",""
"BA","00.000.000/3634-05","42850000","ISENTO","","S","203-8","06","UNIAO",""
"BA","44.539.254/0001-58","44434532","ISENTO","","N","","06","",""
"SP","05.527.103/0001-28","03041090","ISENTO","","N","206-2","06","",""
"SP","18.795.530/0001-39","04119010","ISENTO","","N","206-2","06","",""
"MT","07.616.290/0011-13","78043300","138908532","","N","206-2","03","",""
"SP","01.195.713/0001-10","05693000","ISENTO","","N","","06","",""
"RS","88.644.729/0001-41","95074440","ISENTO","","N","","06","",""
"SP","49.521.531/0001-19","18035330","150414714110","","N","206-2","03","",""
"SC","09.645.148/0001-58","89206500","255658230","","N","206-2","03","",""
"RJ","05.792.037/0001-13","27330520","77583157","","N","","03","",""
"SP","02.473.490/0001-79","18103085","669342936115","","N","206-2","03","",""
"SP","04.893.407/0001-46","13255240","382127712113","","N","","03","",""
"SP","54.756.242/0001-39","14079602","582181870110","","N","206-2","03","",""
"PR","02.949.582/0001-82","82305100","9017797910","","N","","03","",""
"MG","22.702.182/0001-85","37880000","ISENTO","","N","206-2","06","",""
"SP","20.282.534/0001-65","12244000","125094199117","","N","206-2","03","",""
"SP","03.779.133/0085-04","19700000","ISENTO","","S","307-7","06","",""
"AL","00.000.000/4674-48","57330000","ISENTO","","S","203-8","06","UNIAO",""
"SP","96.331.657/0001-00","01130000","113962711113","","N","","03","",""
"RJ","61.192.996/0001-79","21051470","15559624","","N","206-2","03","",""
"SC","05.810.004/0001-59","89069145","254614299","","N","","03","",""
"SP","43.866.094/0001-99","04087032","109091409116","","N","","03","",""
